feature,coef,abs_coef
pc3_pt,2303.0566877501865,2303.0566877501865
Weight,1571.9501337493055,1571.9501337493055
Stature,-599.3455237417403,599.3455237417403
pc40_pt,401.7765400754515,401.7765400754515
pc46_pt,-336.8189772157232,336.8189772157232
pc2_pt,324.555534951326,324.555534951326
pc52_pt,313.2076741980851,313.2076741980851
pc34_pt,290.7320275969461,290.7320275969461
pc60_pt,-286.8274261004678,286.8274261004678
pc44_pt,269.94279660381085,269.94279660381085
pc26_pt,-269.90678964531793,269.90678964531793
pc18_pt,-262.29300625426555,262.29300625426555
pc30_pt,-241.5099120022293,241.5099120022293
pc11_pt,241.1082830127248,241.1082830127248
pc32_pt,-239.64106121622922,239.64106121622922
pc16_pt,-218.65702864134826,218.65702864134826
pc36_pt,212.56737292334734,212.56737292334734
pc14_pt,-206.49736984599193,206.49736984599193
pc20_pt,204.17194543052554,204.17194543052554
pc27_pt,198.33683518599312,198.33683518599312
pc12_pt,-190.05663831669278,190.05663831669278
pc22_pt,189.68682152343186,189.68682152343186
pc49_pt,188.2915639843606,188.2915639843606
pc33_pt,181.51174456638847,181.51174456638847
pc37_pt,178.65103196780277,178.65103196780277
pc55_pt,165.72812270900175,165.72812270900175
pc29_pt,-159.51026509916375,159.51026509916375
pc23_pt,156.46552366025392,156.46552366025392
pc54_pt,-150.5583171159071,150.5583171159071
pc7_pt,148.17405635750495,148.17405635750495
pc28_pt,145.60955098167364,145.60955098167364
pc5_pt,-140.4381046172856,140.4381046172856
pc24_pt,139.79355356792883,139.79355356792883
pc9_pt,132.69134811576225,132.69134811576225
pc6_pt,-130.0680396892519,130.0680396892519
pc45_pt,-120.90662296202984,120.90662296202984
pc8_pt,-120.43203047881917,120.43203047881917
pc38_pt,-119.54214670691267,119.54214670691267
pc31_pt,-118.19676142895824,118.19676142895824
pc56_pt,114.40890759088994,114.40890759088994
pc13_pt,113.2236264696502,113.2236264696502
pc53_pt,108.05648149698513,108.05648149698513
pc21_pt,106.66743089069973,106.66743089069973
pc59_pt,103.34327099821417,103.34327099821417
pc51_pt,98.09942343252506,98.09942343252506
pc58_pt,-84.68525516987091,84.68525516987091
pc10_pt,-79.7683496729923,79.7683496729923
pc42_pt,-73.48491715944857,73.48491715944857
pc17_pt,72.91809577949589,72.91809577949589
pc39_pt,-67.03567529098329,67.03567529098329
pc50_pt,-57.9338104042928,57.9338104042928
pc48_pt,-57.762592472447125,57.762592472447125
pc4_pt,-55.743426658744276,55.743426658744276
pc35_pt,-50.6002708831997,50.6002708831997
pc19_pt,41.79680842720557,41.79680842720557
pc47_pt,37.75867066359869,37.75867066359869
pc43_pt,37.036364574689415,37.036364574689415
pc57_pt,36.62134750769641,36.62134750769641
pc15_pt,18.523970188383142,18.523970188383142
pc41_pt,17.349085849400034,17.349085849400034
pc25_pt,-13.195194481956316,13.195194481956316
pc1_pt,3.366626877665861,3.366626877665861
