feature,coef,abs_coef
pc2_pt,3053.83931714721,3053.83931714721
Stature,2061.4095141920566,2061.4095141920566
Weight,-1177.1263114869105,1177.1263114869105
pc10_pt,816.1483107605828,816.1483107605828
pc39_pt,801.9205771767994,801.9205771767994
pc22_pt,687.6935109587507,687.6935109587507
pc46_pt,-565.8146378553519,565.8146378553519
pc3_pt,-565.1435613393918,565.1435613393918
pc16_pt,-515.5689850555223,515.5689850555223
pc54_pt,-513.3166547073808,513.3166547073808
pc1_pt,512.0468774115038,512.0468774115038
pc28_pt,478.13765596066565,478.13765596066565
pc13_pt,471.35048847678536,471.35048847678536
pc7_pt,462.94119819531335,462.94119819531335
pc53_pt,-462.8295390530967,462.8295390530967
pc35_pt,452.2680295096401,452.2680295096401
pc40_pt,-414.89616565929464,414.89616565929464
pc15_pt,375.644160449598,375.644160449598
pc36_pt,-374.35501209809945,374.35501209809945
pc50_pt,340.87085571621134,340.87085571621134
pc23_pt,330.60005265907006,330.60005265907006
pc49_pt,296.9536608863729,296.9536608863729
pc30_pt,-279.65554510142204,279.65554510142204
pc37_pt,272.8471544346035,272.8471544346035
pc51_pt,-246.78272923827706,246.78272923827706
pc17_pt,-245.91292527349452,245.91292527349452
pc59_pt,-239.35145652270134,239.35145652270134
pc32_pt,-239.09110612631937,239.09110612631937
pc18_pt,-228.27809064435837,228.27809064435837
pc20_pt,-227.06564200644647,227.06564200644647
pc55_pt,209.47712833016598,209.47712833016598
pc47_pt,199.80691782625155,199.80691782625155
pc52_pt,-198.01030976935553,198.01030976935553
pc57_pt,-195.77270195310612,195.77270195310612
pc60_pt,189.16996287411513,189.16996287411513
pc43_pt,181.7438413445261,181.7438413445261
pc4_pt,173.27795262404584,173.27795262404584
pc31_pt,171.5490160832054,171.5490160832054
pc14_pt,-158.40875956674057,158.40875956674057
pc45_pt,-147.6574596525236,147.6574596525236
pc19_pt,-140.48923288757064,140.48923288757064
pc25_pt,137.9562798367468,137.9562798367468
pc21_pt,-123.29201780152486,123.29201780152486
pc9_pt,122.63441155607767,122.63441155607767
pc11_pt,118.62194343067311,118.62194343067311
pc29_pt,115.25018032290463,115.25018032290463
pc8_pt,-113.63459505729406,113.63459505729406
pc56_pt,-110.39279449366391,110.39279449366391
pc44_pt,90.83483038917824,90.83483038917824
pc12_pt,-83.76643066893241,83.76643066893241
pc41_pt,81.51876358468608,81.51876358468608
pc58_pt,-81.09313844244117,81.09313844244117
pc33_pt,76.42482197220276,76.42482197220276
pc27_pt,-73.180567824286,73.180567824286
pc5_pt,52.94542221339173,52.94542221339173
pc26_pt,51.04433863710494,51.04433863710494
pc6_pt,-35.85238049232343,35.85238049232343
pc48_pt,19.143871237117402,19.143871237117402
pc38_pt,-4.080372144066117,4.080372144066117
pc24_pt,-3.271666387606877,3.271666387606877
pc34_pt,2.2151664337387307,2.2151664337387307
pc42_pt,1.0387164851223771,1.0387164851223771
