feature,coef,abs_coef
pc7_pt,622.6914145640982,622.6914145640982
pc8_pt,-347.3679121552571,347.3679121552571
Weight,-274.83181812402137,274.83181812402137
pc3_pt,-209.6553489005998,209.6553489005998
pc56_pt,202.32074381264613,202.32074381264613
pc60_pt,186.77712178097946,186.77712178097946
pc6_pt,-181.9542215429227,181.9542215429227
pc54_pt,-175.80143458726047,175.80143458726047
pc17_pt,168.22647270649543,168.22647270649543
pc26_pt,-164.58791079602827,164.58791079602827
pc38_pt,-159.22165565345696,159.22165565345696
pc15_pt,144.6550546610339,144.6550546610339
pc53_pt,139.84700384347542,139.84700384347542
pc42_pt,-129.66261305511648,129.66261305511648
pc22_pt,119.74626102225308,119.74626102225308
pc51_pt,-117.22431873850029,117.22431873850029
pc25_pt,115.74299805841419,115.74299805841419
pc21_pt,-104.8917287545033,104.8917287545033
pc11_pt,-101.29854114611061,101.29854114611061
pc20_pt,-97.89942731313911,97.89942731313911
pc1_pt,-93.65667603091578,93.65667603091578
pc16_pt,-92.24183834392106,92.24183834392106
pc28_pt,-91.55027435378645,91.55027435378645
pc46_pt,-89.70684772933653,89.70684772933653
pc10_pt,83.6685149049237,83.6685149049237
pc12_pt,82.94758771261144,82.94758771261144
pc43_pt,82.50215765889614,82.50215765889614
pc48_pt,-79.30286647866093,79.30286647866093
pc4_pt,-78.52633190708667,78.52633190708667
pc24_pt,-77.79025255786846,77.79025255786846
pc44_pt,-75.8216544382265,75.8216544382265
pc14_pt,70.9360145695505,70.9360145695505
pc5_pt,69.23924950980052,69.23924950980052
pc58_pt,68.33435142272849,68.33435142272849
pc40_pt,-67.74217644099988,67.74217644099988
pc36_pt,-66.43277774571285,66.43277774571285
pc55_pt,65.72586148329091,65.72586148329091
pc45_pt,63.979051661364174,63.979051661364174
pc35_pt,-62.642845539810224,62.642845539810224
pc39_pt,-62.53363210329888,62.53363210329888
pc47_pt,-57.0752515502994,57.0752515502994
pc57_pt,52.98732431945089,52.98732431945089
pc18_pt,52.1854107155362,52.1854107155362
pc29_pt,50.9077826275354,50.9077826275354
pc27_pt,48.70336163210482,48.70336163210482
pc34_pt,44.8405577548396,44.8405577548396
pc31_pt,44.58966709468684,44.58966709468684
pc52_pt,42.072194102069815,42.072194102069815
pc32_pt,-39.479601804618866,39.479601804618866
pc59_pt,37.32637309478768,37.32637309478768
pc2_pt,-34.204133414671915,34.204133414671915
pc19_pt,-31.63664827148735,31.63664827148735
pc30_pt,-31.633099320986293,31.633099320986293
pc37_pt,24.479421498714878,24.479421498714878
pc23_pt,-20.964903669971793,20.964903669971793
pc33_pt,-16.24498561077265,16.24498561077265
pc41_pt,-15.320311118050943,15.320311118050943
pc49_pt,-13.353174896907186,13.353174896907186
Stature,10.885990279261174,10.885990279261174
pc9_pt,-10.396626329705814,10.396626329705814
pc13_pt,-3.513532493536253,3.513532493536253
pc50_pt,-3.2217722164170928,3.2217722164170928
