feature,coef,abs_coef
Weight,-57.770033151584286,57.770033151584286
pc56_pt,29.511512100214194,29.511512100214194
Stature,25.043823165974295,25.043823165974295
pc7_pt,24.357648754707178,24.357648754707178
pc47_pt,21.543404406243212,21.543404406243212
pc31_pt,-16.48587633179931,16.48587633179931
pc60_pt,14.514887401795669,14.514887401795669
pc8_pt,-14.432370612759595,14.432370612759595
pc42_pt,13.448310802259165,13.448310802259165
pc43_pt,12.736235657281204,12.736235657281204
pc25_pt,12.488240347089954,12.488240347089954
pc23_pt,11.523751132598983,11.523751132598983
pc9_pt,11.24698898869484,11.24698898869484
pc51_pt,-10.226138218152052,10.226138218152052
pc24_pt,-10.094555714128633,10.094555714128633
pc36_pt,-10.014231263325556,10.014231263325556
pc22_pt,8.990240078979147,8.990240078979147
pc13_pt,-8.681487801979873,8.681487801979873
pc41_pt,-8.106251305252323,8.106251305252323
pc20_pt,-7.682353143256307,7.682353143256307
pc49_pt,7.608475667782788,7.608475667782788
pc26_pt,-7.320678233886125,7.320678233886125
pc5_pt,7.235576143688399,7.235576143688399
pc28_pt,6.964463772543695,6.964463772543695
pc6_pt,6.688716699316285,6.688716699316285
pc18_pt,6.613707032384155,6.613707032384155
pc45_pt,-6.0663661301692855,6.0663661301692855
pc46_pt,-5.7592469714797305,5.7592469714797305
pc33_pt,5.193822075742872,5.193822075742872
pc10_pt,4.748021707779656,4.748021707779656
pc19_pt,4.466894796670357,4.466894796670357
pc54_pt,4.463000463335791,4.463000463335791
pc21_pt,-4.455239282932581,4.455239282932581
pc12_pt,4.150919164974689,4.150919164974689
pc14_pt,3.9955277131385007,3.9955277131385007
pc2_pt,3.913633104719382,3.913633104719382
pc58_pt,-3.82843509757713,3.82843509757713
pc55_pt,3.803492756698086,3.803492756698086
pc52_pt,-3.694180055456047,3.694180055456047
pc27_pt,3.4775244352391668,3.4775244352391668
pc34_pt,-3.247625743990123,3.247625743990123
pc59_pt,-3.0621232699681094,3.0621232699681094
pc39_pt,-3.031511300327891,3.031511300327891
pc37_pt,-2.819846271611159,2.819846271611159
pc16_pt,-2.683042611222354,2.683042611222354
pc48_pt,-2.659714803016254,2.659714803016254
pc29_pt,2.0652163597224087,2.0652163597224087
pc11_pt,1.9190200963276445,1.9190200963276445
pc3_pt,1.8184082950216638,1.8184082950216638
pc32_pt,-1.680080250254139,1.680080250254139
pc38_pt,-1.593926469581498,1.593926469581498
pc57_pt,1.5350856186862656,1.5350856186862656
pc44_pt,-1.484235228744483,1.484235228744483
pc30_pt,1.3334128350945837,1.3334128350945837
pc1_pt,1.332264442997305,1.332264442997305
pc35_pt,-1.3240127437936218,1.3240127437936218
pc15_pt,-1.230383037829682,1.230383037829682
pc50_pt,1.196091471265635,1.196091471265635
pc53_pt,-0.8179617745372311,0.8179617745372311
pc4_pt,-0.7833840528008698,0.7833840528008698
pc17_pt,-0.26613713983089143,0.26613713983089143
pc40_pt,-0.06624013216727662,0.06624013216727662
