feature,coef,abs_coef
pc32_pt,192.87272233669003,192.87272233669003
Weight,82.48888724579693,82.48888724579693
pc8_pt,-74.9406295419049,74.9406295419049
pc10_pt,-70.64700341797511,70.64700341797511
pc50_pt,69.85880524326721,69.85880524326721
pc16_pt,61.960494854489426,61.960494854489426
pc12_pt,-59.75826210882345,59.75826210882345
pc18_pt,-55.17800344341458,55.17800344341458
pc45_pt,-50.390058655034565,50.390058655034565
pc60_pt,-49.78709222918814,49.78709222918814
pc7_pt,-47.84131454314846,47.84131454314846
pc41_pt,47.65956282167412,47.65956282167412
Stature,44.30298694150749,44.30298694150749
pc43_pt,38.49498643374893,38.49498643374893
pc48_pt,37.27683051904297,37.27683051904297
pc42_pt,36.167623671109645,36.167623671109645
pc46_pt,34.59960326012363,34.59960326012363
pc28_pt,28.785663175327358,28.785663175327358
pc15_pt,-27.555375365638824,27.555375365638824
pc37_pt,27.23675325007252,27.23675325007252
pc26_pt,24.846290094575362,24.846290094575362
pc25_pt,23.652418037547033,23.652418037547033
pc19_pt,-22.982771496620416,22.982771496620416
pc24_pt,-22.172032915684543,22.172032915684543
pc2_pt,-22.122904844640953,22.122904844640953
pc40_pt,22.071630209357362,22.071630209357362
pc21_pt,-21.393594965964457,21.393594965964457
pc44_pt,20.930310257946015,20.930310257946015
pc36_pt,-20.354245398222016,20.354245398222016
pc6_pt,19.613538188228667,19.613538188228667
pc23_pt,18.49253929410095,18.49253929410095
pc3_pt,-17.68156514722836,17.68156514722836
pc17_pt,17.235148889891704,17.235148889891704
pc30_pt,16.384527909676997,16.384527909676997
pc22_pt,-16.057750099346084,16.057750099346084
pc55_pt,-15.9392274403878,15.9392274403878
pc27_pt,15.507329589471466,15.507329589471466
pc5_pt,-13.677841857262457,13.677841857262457
pc47_pt,-12.207693233222482,12.207693233222482
pc39_pt,-11.908608517793924,11.908608517793924
pc1_pt,11.745391558442336,11.745391558442336
pc49_pt,-9.920599830040716,9.920599830040716
pc11_pt,-9.34253986881575,9.34253986881575
pc56_pt,-9.20273309460368,9.20273309460368
pc20_pt,-6.105516534657984,6.105516534657984
pc4_pt,-6.006560512260175,6.006560512260175
pc51_pt,-5.937024750871401,5.937024750871401
pc35_pt,-5.714433889522552,5.714433889522552
pc54_pt,-5.016624605257818,5.016624605257818
pc52_pt,4.840401416414181,4.840401416414181
pc9_pt,3.9793056814744,3.9793056814744
pc13_pt,3.915636073205729,3.915636073205729
pc33_pt,3.836504889425195,3.836504889425195
pc58_pt,2.898227364335921,2.898227364335921
pc59_pt,2.8846792830534205,2.8846792830534205
pc38_pt,2.1969505996762186,2.1969505996762186
pc34_pt,2.139825165271456,2.139825165271456
pc53_pt,1.8993168243125382,1.8993168243125382
pc31_pt,1.557177381713954,1.557177381713954
pc14_pt,-1.5024916934863588,1.5024916934863588
pc57_pt,0.7094899006821961,0.7094899006821961
pc29_pt,-0.28747273530999345,0.28747273530999345
