feature,coef,abs_coef
pc42_pt,-63.27365411162952,63.27365411162952
pc41_pt,58.29995659591461,58.29995659591461
pc40_pt,56.057627051032846,56.057627051032846
pc4_pt,40.683708635559455,40.683708635559455
Stature,40.24257759785969,40.24257759785969
pc50_pt,36.09063779906604,36.09063779906604
pc39_pt,-34.94731048458772,34.94731048458772
pc18_pt,-33.71424268770919,33.71424268770919
pc46_pt,-28.53233920569328,28.53233920569328
pc58_pt,27.925966310781956,27.925966310781956
pc48_pt,27.71038929401319,27.71038929401319
pc43_pt,-27.303790255540132,27.303790255540132
pc54_pt,27.166974609012698,27.166974609012698
pc30_pt,-26.88574683992604,26.88574683992604
pc35_pt,-26.72198223897081,26.72198223897081
pc53_pt,25.898682464695813,25.898682464695813
pc13_pt,25.68380154219696,25.68380154219696
pc33_pt,25.39685327317926,25.39685327317926
pc49_pt,-24.29207690822261,24.29207690822261
pc56_pt,-23.538356086049433,23.538356086049433
pc36_pt,22.945212845250072,22.945212845250072
pc19_pt,19.5022661231382,19.5022661231382
pc27_pt,19.3672213077178,19.3672213077178
pc21_pt,19.11108799216587,19.11108799216587
pc1_pt,18.14104058870185,18.14104058870185
pc9_pt,-17.723328942668754,17.723328942668754
pc14_pt,-17.531047244551107,17.531047244551107
pc57_pt,-17.50784151063644,17.50784151063644
pc60_pt,16.60777956443388,16.60777956443388
pc2_pt,16.522896823953094,16.522896823953094
pc17_pt,16.482140612096902,16.482140612096902
pc5_pt,16.416555390448625,16.416555390448625
pc59_pt,-16.357417684771146,16.357417684771146
pc28_pt,-16.078124670994853,16.078124670994853
pc11_pt,-14.629515259098422,14.629515259098422
pc12_pt,12.918810473104662,12.918810473104662
pc15_pt,-12.74203941126965,12.74203941126965
pc38_pt,12.411585672203163,12.411585672203163
pc22_pt,-12.310509192477912,12.310509192477912
pc52_pt,-11.94448929871547,11.94448929871547
pc16_pt,-11.849399524501623,11.849399524501623
pc31_pt,-11.258982635614261,11.258982635614261
pc45_pt,-10.968825964426635,10.968825964426635
Weight,10.814369811811652,10.814369811811652
pc24_pt,-10.455498102281595,10.455498102281595
pc10_pt,-9.745862113235292,9.745862113235292
pc23_pt,-8.330498550869093,8.330498550869093
pc32_pt,-7.263536717290914,7.263536717290914
pc6_pt,6.803054362180577,6.803054362180577
pc7_pt,6.480213956363828,6.480213956363828
pc44_pt,6.056648322280067,6.056648322280067
pc26_pt,5.21755553164726,5.21755553164726
pc20_pt,-5.131106908308431,5.131106908308431
pc34_pt,-4.515050619176364,4.515050619176364
pc37_pt,4.252366563024552,4.252366563024552
pc3_pt,-3.2769641331894035,3.2769641331894035
pc55_pt,-3.150740287893356,3.150740287893356
pc47_pt,-3.143855432906264,3.143855432906264
pc29_pt,1.9975685945971147,1.9975685945971147
pc8_pt,1.4277102423431196,1.4277102423431196
pc25_pt,-0.5835856626364663,0.5835856626364663
pc51_pt,0.5112468266000897,0.5112468266000897
