feature,coef,abs_coef
pc4_pt,920.4298874440524,920.4298874440524
Weight,308.27373434757794,308.27373434757794
pc39_pt,-242.98682747047607,242.98682747047607
pc40_pt,-212.4559031427868,212.4559031427868
pc36_pt,204.39672444751417,204.39672444751417
pc11_pt,-191.81449454352065,191.81449454352065
pc10_pt,-183.80359304496747,183.80359304496747
pc42_pt,-177.40393465903782,177.40393465903782
pc28_pt,-173.05743657531386,173.05743657531386
pc6_pt,171.43682378531062,171.43682378531062
pc12_pt,-170.94095357071396,170.94095357071396
pc46_pt,165.17828150535018,165.17828150535018
Stature,-164.99645225059382,164.99645225059382
pc38_pt,-158.63821446048095,158.63821446048095
pc5_pt,151.71954910114525,151.71954910114525
pc55_pt,-148.5183863432013,148.5183863432013
pc59_pt,-135.52539202550543,135.52539202550543
pc51_pt,129.73165471560736,129.73165471560736
pc13_pt,-128.93431173937435,128.93431173937435
pc23_pt,-127.10908517873692,127.10908517873692
pc54_pt,-127.01675295326105,127.01675295326105
pc16_pt,118.0816799574143,118.0816799574143
pc18_pt,116.96370273806511,116.96370273806511
pc60_pt,-113.65757105363797,113.65757105363797
pc56_pt,-112.29092065493126,112.29092065493126
pc2_pt,-102.27588022031725,102.27588022031725
pc21_pt,102.02666634408476,102.02666634408476
pc14_pt,-101.76860489832522,101.76860489832522
pc29_pt,101.1520330582965,101.1520330582965
pc58_pt,95.06092083801298,95.06092083801298
pc34_pt,94.91828915803096,94.91828915803096
pc17_pt,94.8541686275931,94.8541686275931
pc22_pt,-93.7765204518632,93.7765204518632
pc49_pt,-85.28063099747146,85.28063099747146
pc3_pt,-83.01104081677623,83.01104081677623
pc35_pt,-78.59018362893332,78.59018362893332
pc7_pt,-76.28191896471036,76.28191896471036
pc26_pt,-75.77459814053202,75.77459814053202
pc44_pt,-70.83757823629045,70.83757823629045
pc32_pt,-68.53522749507952,68.53522749507952
pc45_pt,-60.569869764976126,60.569869764976126
pc37_pt,59.36280421579623,59.36280421579623
pc15_pt,-46.52787690049531,46.52787690049531
pc53_pt,41.79912847644508,41.79912847644508
pc57_pt,39.864836064568436,39.864836064568436
pc19_pt,-37.84992551374903,37.84992551374903
pc1_pt,32.01052029519672,32.01052029519672
pc47_pt,29.41874594802913,29.41874594802913
pc27_pt,28.523867306378474,28.523867306378474
pc33_pt,-27.049798531510575,27.049798531510575
pc43_pt,-23.531736881861498,23.531736881861498
pc9_pt,-23.338935402830625,23.338935402830625
pc30_pt,17.18735035800617,17.18735035800617
pc31_pt,-12.17679456440104,12.17679456440104
pc24_pt,-8.713495997959358,8.713495997959358
pc25_pt,4.580182757445624,4.580182757445624
pc20_pt,-3.372341980036877,3.372341980036877
pc50_pt,-2.565544266784373,2.565544266784373
pc48_pt,-1.4765876954811372,1.4765876954811372
pc41_pt,-0.6854275275916544,0.6854275275916544
pc52_pt,-0.484697646004973,0.484697646004973
pc8_pt,-0.09396599308056071,0.09396599308056071
