feature,coef,abs_coef
pc23_pt,273.1093282366599,273.1093282366599
pc14_pt,-178.93911743204396,178.93911743204396
pc16_pt,153.91038454419436,153.91038454419436
pc24_pt,124.47373783299253,124.47373783299253
pc48_pt,98.98937387633615,98.98937387633615
pc19_pt,87.0655977030248,87.0655977030248
pc15_pt,86.07642232192448,86.07642232192448
Weight,-82.55893093870098,82.55893093870098
Stature,72.36620739364683,72.36620739364683
pc44_pt,68.46944979698827,68.46944979698827
pc50_pt,64.86291917875158,64.86291917875158
pc8_pt,-64.46446989439173,64.46446989439173
pc9_pt,61.11323582171686,61.11323582171686
pc27_pt,-58.12612826970185,58.12612826970185
pc54_pt,54.491007993304976,54.491007993304976
pc17_pt,52.94808623403064,52.94808623403064
pc26_pt,-51.46896550516119,51.46896550516119
pc35_pt,49.245837851264604,49.245837851264604
pc38_pt,47.35573924887803,47.35573924887803
pc42_pt,-47.08395539739572,47.08395539739572
pc51_pt,46.890071082060004,46.890071082060004
pc11_pt,-43.20916112302424,43.20916112302424
pc49_pt,39.44846282550829,39.44846282550829
pc41_pt,38.98457506258733,38.98457506258733
pc52_pt,38.269177294620306,38.269177294620306
pc10_pt,-34.3458512616466,34.3458512616466
pc37_pt,-33.8503603220252,33.8503603220252
pc40_pt,33.37415735706544,33.37415735706544
pc20_pt,32.951796144968995,32.951796144968995
pc12_pt,-29.97865584997863,29.97865584997863
pc22_pt,-29.182435399294263,29.182435399294263
pc28_pt,28.29300156700634,28.29300156700634
pc46_pt,-27.87213608635361,27.87213608635361
pc47_pt,27.15947346178371,27.15947346178371
pc45_pt,25.839228223843158,25.839228223843158
pc6_pt,-23.38192109776037,23.38192109776037
pc56_pt,-18.688329230151247,18.688329230151247
pc33_pt,17.79917514175715,17.79917514175715
pc31_pt,14.977540784208086,14.977540784208086
pc21_pt,-13.09376367647429,13.09376367647429
pc29_pt,12.455026316100165,12.455026316100165
pc36_pt,-12.179298025664352,12.179298025664352
pc32_pt,-11.86684811784317,11.86684811784317
pc34_pt,11.766535818188988,11.766535818188988
pc59_pt,10.977104489956558,10.977104489956558
pc3_pt,10.593208487133566,10.593208487133566
pc55_pt,-9.868077609501768,9.868077609501768
pc18_pt,-9.380787959891594,9.380787959891594
pc5_pt,9.34769893858066,9.34769893858066
pc7_pt,-8.953417653359722,8.953417653359722
pc58_pt,-8.039096628322987,8.039096628322987
pc25_pt,7.257497716201473,7.257497716201473
pc60_pt,7.218669898573933,7.218669898573933
pc30_pt,5.741563737929312,5.741563737929312
pc39_pt,-5.5192845425194905,5.5192845425194905
pc13_pt,3.1044050227144955,3.1044050227144955
pc1_pt,-2.533007719837062,2.533007719837062
pc57_pt,1.026042025911181,1.026042025911181
pc4_pt,-0.48443260951506906,0.48443260951506906
pc53_pt,-0.1570509031454745,0.1570509031454745
pc43_pt,0.08511824113893846,0.08511824113893846
pc2_pt,-0.030796366186650773,0.030796366186650773
