feature,coef,abs_coef
pc26_pt,127.715174323676,127.715174323676
pc27_pt,69.82855727349208,69.82855727349208
pc6_pt,69.38390683274544,69.38390683274544
Stature,68.40289301302347,68.40289301302347
pc25_pt,-55.581146789689164,55.581146789689164
pc43_pt,-49.94740837522485,49.94740837522485
pc14_pt,46.011123578845044,46.011123578845044
pc20_pt,37.354878973749855,37.354878973749855
pc16_pt,-37.08891309935197,37.08891309935197
pc49_pt,36.55846115335583,36.55846115335583
pc5_pt,35.939099820654036,35.939099820654036
pc15_pt,-33.66575974715458,33.66575974715458
pc47_pt,-32.147137449403914,32.147137449403914
pc24_pt,-31.951146544600103,31.951146544600103
pc9_pt,-31.825138661560405,31.825138661560405
pc53_pt,31.521643890584436,31.521643890584436
pc23_pt,-31.21327623359992,31.21327623359992
pc19_pt,-30.854613344511996,30.854613344511996
pc12_pt,29.428734017069367,29.428734017069367
pc41_pt,29.02190518876168,29.02190518876168
pc60_pt,28.727487611736255,28.727487611736255
pc4_pt,27.571660306027496,27.571660306027496
pc30_pt,24.537009532742747,24.537009532742747
Weight,24.498122486473825,24.498122486473825
pc13_pt,-24.20426929272167,24.20426929272167
pc48_pt,-23.85621473598445,23.85621473598445
pc59_pt,-23.763245328819984,23.763245328819984
pc28_pt,23.30959873313009,23.30959873313009
pc32_pt,-21.227583560873278,21.227583560873278
pc54_pt,-20.951171739583305,20.951171739583305
pc35_pt,-20.276157646076854,20.276157646076854
pc11_pt,20.153302955928904,20.153302955928904
pc21_pt,-19.317963229010736,19.317963229010736
pc34_pt,-19.058798191276736,19.058798191276736
pc50_pt,17.239998172688903,17.239998172688903
pc56_pt,-16.74863907616094,16.74863907616094
pc39_pt,16.517011413827746,16.517011413827746
pc1_pt,-16.2508942572279,16.2508942572279
pc42_pt,14.860521034210555,14.860521034210555
pc46_pt,14.837975036592608,14.837975036592608
pc33_pt,13.46151849567861,13.46151849567861
pc52_pt,-13.246704730167684,13.246704730167684
pc3_pt,-13.03714588272066,13.03714588272066
pc51_pt,-12.23213320807844,12.23213320807844
pc36_pt,-12.166502818170777,12.166502818170777
pc8_pt,-12.120174236723088,12.120174236723088
pc17_pt,11.536088805733238,11.536088805733238
pc37_pt,10.999973080142661,10.999973080142661
pc58_pt,-8.198391196436429,8.198391196436429
pc29_pt,-7.208906004015498,7.208906004015498
pc44_pt,6.05153804866197,6.05153804866197
pc7_pt,-5.977499612036294,5.977499612036294
pc31_pt,5.761254426324057,5.761254426324057
pc45_pt,5.528845477236774,5.528845477236774
pc55_pt,-3.9593986970640023,3.9593986970640023
pc38_pt,-3.1793289695961304,3.1793289695961304
pc2_pt,3.010282628009799,3.010282628009799
pc40_pt,2.7199242144085525,2.7199242144085525
pc10_pt,2.0812501963990777,2.0812501963990777
pc22_pt,1.425037858319163,1.425037858319163
pc57_pt,-1.2954411154699852,1.2954411154699852
pc18_pt,-1.2482391254308405,1.2482391254308405
