feature,coef,abs_coef
pc7_pt,1338.2321950293124,1338.2321950293124
pc28_pt,-380.6528576011236,380.6528576011236
pc53_pt,-344.5581236178871,344.5581236178871
pc12_pt,-332.61744798796855,332.61744798796855
pc44_pt,-321.13684872379133,321.13684872379133
Stature,-318.58523750977605,318.58523750977605
pc2_pt,270.4594032026936,270.4594032026936
pc55_pt,237.3333288235104,237.3333288235104
pc14_pt,-235.6752957540032,235.6752957540032
pc6_pt,-214.18929181519323,214.18929181519323
pc41_pt,-210.80267562529488,210.80267562529488
pc3_pt,207.10650218928546,207.10650218928546
pc22_pt,-199.79636787609536,199.79636787609536
Weight,-165.35062594769195,165.35062594769195
pc19_pt,161.8824575894174,161.8824575894174
pc37_pt,-151.57747763199401,151.57747763199401
pc24_pt,150.29478152189776,150.29478152189776
pc48_pt,149.7213012336624,149.7213012336624
pc25_pt,-147.99103824915872,147.99103824915872
pc49_pt,-147.6047087693056,147.6047087693056
pc43_pt,-144.32755331059604,144.32755331059604
pc15_pt,136.57715321361323,136.57715321361323
pc21_pt,126.84016623253623,126.84016623253623
pc57_pt,123.72695883661328,123.72695883661328
pc34_pt,-120.72647316044036,120.72647316044036
pc27_pt,-117.59750599127875,117.59750599127875
pc23_pt,110.33906215716257,110.33906215716257
pc35_pt,-108.9841032114582,108.9841032114582
pc20_pt,-106.0959605249722,106.0959605249722
pc13_pt,104.98166286095174,104.98166286095174
pc50_pt,-103.7982773258507,103.7982773258507
pc39_pt,-100.34005017366827,100.34005017366827
pc5_pt,100.19697895996674,100.19697895996674
pc42_pt,-93.438993098318,93.438993098318
pc45_pt,-91.70719884408322,91.70719884408322
pc46_pt,-86.4741965759147,86.4741965759147
pc59_pt,85.85943574451728,85.85943574451728
pc17_pt,-79.6589101783865,79.6589101783865
pc60_pt,-74.21031282264055,74.21031282264055
pc16_pt,-69.10983389860387,69.10983389860387
pc8_pt,66.2907718790827,66.2907718790827
pc47_pt,-63.538084759612246,63.538084759612246
pc58_pt,-55.574302482829864,55.574302482829864
pc36_pt,-53.46015063736107,53.46015063736107
pc33_pt,46.901036713119204,46.901036713119204
pc29_pt,-45.66478940103614,45.66478940103614
pc18_pt,44.111690290992854,44.111690290992854
pc38_pt,-41.02480789764134,41.02480789764134
pc56_pt,-40.0715586322774,40.0715586322774
pc52_pt,-31.667227011560165,31.667227011560165
pc9_pt,-29.58768312529723,29.58768312529723
pc32_pt,-24.414239303713373,24.414239303713373
pc40_pt,-21.953726210005737,21.953726210005737
pc31_pt,-19.53673495886432,19.53673495886432
pc10_pt,-14.578459074006833,14.578459074006833
pc26_pt,-12.928310848226154,12.928310848226154
pc54_pt,11.913574237411789,11.913574237411789
pc51_pt,11.383044863337432,11.383044863337432
pc11_pt,-9.738508568177975,9.738508568177975
pc30_pt,5.231250329817707,5.231250329817707
pc1_pt,1.962808029243094,1.962808029243094
pc4_pt,0.7889184765243714,0.7889184765243714
