feature,coef,abs_coef
Weight,729.8515988841054,729.8515988841054
pc10_pt,724.121518368415,724.121518368415
pc34_pt,-208.71153685726588,208.71153685726588
pc22_pt,-190.15501553348568,190.15501553348568
pc24_pt,-185.9731669631648,185.9731669631648
pc2_pt,-158.62523298115252,158.62523298115252
pc33_pt,153.48141375778673,153.48141375778673
pc42_pt,-145.21867700479714,145.21867700479714
pc12_pt,143.55544249759907,143.55544249759907
pc21_pt,143.38501261914115,143.38501261914115
pc58_pt,-142.34324822851713,142.34324822851713
pc31_pt,124.56200985471585,124.56200985471585
pc47_pt,123.42554755468832,123.42554755468832
pc41_pt,-115.80117205962866,115.80117205962866
pc8_pt,111.34050881917985,111.34050881917985
pc46_pt,-108.90867273052342,108.90867273052342
pc18_pt,-107.94288997882862,107.94288997882862
pc7_pt,107.1039814022665,107.1039814022665
pc53_pt,96.53579667737962,96.53579667737962
pc5_pt,87.8462642520174,87.8462642520174
pc26_pt,-87.13814890733732,87.13814890733732
pc59_pt,85.70167781231369,85.70167781231369
pc16_pt,81.88833255433758,81.88833255433758
pc13_pt,-81.03605698820647,81.03605698820647
pc30_pt,-79.4588353801402,79.4588353801402
pc29_pt,-76.55005407892345,76.55005407892345
pc11_pt,73.07534243212422,73.07534243212422
pc23_pt,-71.64016970234863,71.64016970234863
pc37_pt,70.58017331479691,70.58017331479691
pc1_pt,-68.05806020862919,68.05806020862919
pc56_pt,60.69286430198856,60.69286430198856
pc55_pt,-58.77549755846458,58.77549755846458
pc28_pt,-47.96322185980908,47.96322185980908
pc51_pt,42.164062310171616,42.164062310171616
pc50_pt,40.61619836229374,40.61619836229374
pc45_pt,39.57614404137352,39.57614404137352
pc20_pt,-38.68993992046988,38.68993992046988
pc17_pt,-37.82385883482714,37.82385883482714
pc25_pt,-37.488502259934755,37.488502259934755
pc32_pt,-34.64619687874743,34.64619687874743
pc48_pt,-32.198909946226145,32.198909946226145
pc40_pt,-28.104047741266697,28.104047741266697
pc14_pt,25.364908992736844,25.364908992736844
pc39_pt,-24.836515636182874,24.836515636182874
pc27_pt,23.524244868597936,23.524244868597936
pc49_pt,21.150572668849062,21.150572668849062
pc6_pt,20.966911743849746,20.966911743849746
pc57_pt,16.7339579420822,16.7339579420822
pc9_pt,-15.099221575853127,15.099221575853127
pc19_pt,15.062031007463112,15.062031007463112
pc54_pt,-14.926086715202914,14.926086715202914
pc36_pt,14.16881818716833,14.16881818716833
Stature,-13.556275983384028,13.556275983384028
pc60_pt,12.752234463876578,12.752234463876578
pc15_pt,12.603101279714412,12.603101279714412
pc44_pt,-12.137327939989728,12.137327939989728
pc35_pt,11.886128731349785,11.886128731349785
pc43_pt,-9.46321079762711,9.46321079762711
pc38_pt,-8.890590888640663,8.890590888640663
pc3_pt,4.444852502946482,4.444852502946482
pc52_pt,2.6420942406313874,2.6420942406313874
pc4_pt,1.6874640143937325,1.6874640143937325
