feature,coef,abs_coef
pc8_pt,292.2093055823608,292.2093055823608
pc9_pt,170.9140867607342,170.9140867607342
pc2_pt,-138.86385471549048,138.86385471549048
pc59_pt,-138.44340414984367,138.44340414984367
pc7_pt,-137.6867595944308,137.6867595944308
pc43_pt,120.2837050741728,120.2837050741728
pc1_pt,111.00656256858309,111.00656256858309
pc57_pt,110.43884127757494,110.43884127757494
pc33_pt,-109.54535719023566,109.54535719023566
pc22_pt,108.55192657622092,108.55192657622092
pc28_pt,98.81726296186963,98.81726296186963
pc11_pt,86.82297148838524,86.82297148838524
pc44_pt,84.40014570921035,84.40014570921035
pc54_pt,-84.37016324267107,84.37016324267107
pc30_pt,82.4437286873691,82.4437286873691
pc35_pt,81.44803369306173,81.44803369306173
Weight,80.2667896449049,80.2667896449049
pc17_pt,-79.65149101714972,79.65149101714972
pc4_pt,-79.37806013415502,79.37806013415502
pc20_pt,77.1478760984564,77.1478760984564
pc26_pt,71.54389265900394,71.54389265900394
pc58_pt,-70.77115417937914,70.77115417937914
pc50_pt,69.18034710221242,69.18034710221242
pc19_pt,66.76306513085567,66.76306513085567
pc15_pt,65.96165734175794,65.96165734175794
pc47_pt,-65.56321454680005,65.56321454680005
pc36_pt,-64.56978791618447,64.56978791618447
pc13_pt,-57.786648420328596,57.786648420328596
pc53_pt,57.479309416692466,57.479309416692466
pc45_pt,54.763117546653845,54.763117546653845
pc18_pt,-54.716051604965195,54.716051604965195
pc48_pt,53.073627765105634,53.073627765105634
pc31_pt,-52.26524678410315,52.26524678410315
pc12_pt,51.74958865137352,51.74958865137352
pc32_pt,-50.09834361320824,50.09834361320824
pc3_pt,49.89121643450271,49.89121643450271
pc6_pt,43.182278589731396,43.182278589731396
pc46_pt,42.45799352687315,42.45799352687315
pc55_pt,-41.12042480943896,41.12042480943896
pc34_pt,-36.99315244664999,36.99315244664999
pc40_pt,34.97235795070936,34.97235795070936
pc42_pt,32.27691811052037,32.27691811052037
pc10_pt,-30.059030855872766,30.059030855872766
pc51_pt,29.755979923342764,29.755979923342764
pc49_pt,23.702427564833354,23.702427564833354
pc5_pt,23.675794953978432,23.675794953978432
pc29_pt,-21.62722240198145,21.62722240198145
pc37_pt,-20.348365791376494,20.348365791376494
pc24_pt,20.290903599043126,20.290903599043126
pc60_pt,18.653551137227016,18.653551137227016
Stature,-17.695488532382555,17.695488532382555
pc21_pt,16.319635192767684,16.319635192767684
pc23_pt,-16.030676588796645,16.030676588796645
pc39_pt,-15.959141964196881,15.959141964196881
pc41_pt,-9.58062983933462,9.58062983933462
pc25_pt,-8.744294247060735,8.744294247060735
pc56_pt,8.50341654186219,8.50341654186219
pc16_pt,7.326094875755862,7.326094875755862
pc52_pt,-5.873885180260841,5.873885180260841
pc27_pt,-5.3055370606182874,5.3055370606182874
pc14_pt,-3.1200473724243523,3.1200473724243523
pc38_pt,2.918330085972552,2.918330085972552
